date,phase,category,module,event,source
2026-05-02,foundation,decision,architecture,ADR 001 accepted — D1 vs Skills hybrid source of truth (Variant Z),docs/decisions/001
2026-05-02,foundation,decision,architecture,ADR 002 accepted — 9 D1 schema conventions (slug PKs; money as integer minor units; unix dates; FX x1e6; soft-delete; timestamps; FK RESTRICT; TEXT+CHECK enums; JSON in TEXT),docs/decisions/002
2026-05-02,foundation,session,project,CHECKPOINT 2026-05-02 recorded,reconstructed/_PROJECT.md
2026-05-02,1.0,milestone,repo,Phase 1.0 repository skeleton (api/web/db/docs),README.md
2026-05-02,1.0a,fix,web,Phase 1.0a Cloudflare Pages Static Export fix — first deploy live,README.md
2026-05-02,1.1,schema-migration,schema,0001 initial D1 schema — 16 tables (reference/operational/system),migration 0001
2026-05-03,1.1,seed,reference,0003 Phase 1.1 populate — companies + sequences,migration 0003
2026-05-03,1.2,seed,reference,0002 Phase 1.2 reference data seed (companies partners products),migration 0002
2026-05-03,1.x,session,project,END OF DAY 2026-05-03 recorded,reconstructed/_PROJECT.md
2026-05-04,2.x,feature,operations,0004 operations.reference column (PARTNERABBR-YYMMDDXX),migration 0004
2026-05-04,2.x,schema-migration,contracts,0005 contracts table + payment markdown enhancements,migration 0005
2026-05-04,2.x,schema-migration,payments,0006 payments table + cleanup legacy paid columns,migration 0006
2026-05-04,2.0c,schema-migration,invoicer,0007 invoicer foundation — schema rewrite for new engine,migration 0007
2026-05-04,2.0c,seed,invoicer,0008 seed invoicer data + product-id rename + test cleanup,migration 0008
2026-05-04,2.0c,seed,invoicer,0009 invoicer roles + manufacturer bank routes + seq_is,migration 0009
2026-05-04,2.x,feature,contracts,0010 VAT rate on contracts and operations,migration 0010
2026-05-04,2.x,session,project,END OF DAY 2026-05-04 recorded,reconstructed/_PROJECT.md
2026-05-05,4.1,schema-migration,inventory,0011 Inventory module — hybrid perpetual (movements + sessions),migration 0011
2026-05-05,5.1,schema-migration,products,0012 product_images table (photos in R2 metadata in D1),migration 0012
2026-05-05,5.x,fix,warehouses,0013 rename warehouse gzh_bw/GZH-BW to dgn,migration 0013
2026-05-05,4.x,session,project,END OF DAY 2026-05-05 recorded,reconstructed/_PROJECT.md
2026-05-06,6.0,integration,marketplaces,0014 marketplace stock snapshots from Ozon and Wildberries (multipack convention),migration 0014_marketplace_stocks
2026-05-06,6.x,feature,operations,0015 add bundling to operations.operation_type CHECK,migration 0015_bundling
2026-05-06,6.x,session,project,END OF SESSION 2026-05-06 recorded — static-export 404 flagged,reconstructed/_PROJECT.md
2026-05-07,6.x,session,project,END OF SESSION 2026-05-07 recorded,reconstructed/_PROJECT.md
2026-05-08,7.x,schema-migration,partners,0017 clean break — unified partners + prefix removal (applied to prod),migration 0017
2026-05-08,7.x,feature,documents,0016 documents.pdf_converted_r2_url (CloudConvert PDF; docx stays source),migration 0016
2026-05-08,7.x,feature,invoicer,0018 invoice_label internationalization,migration 0018
2026-05-09,7.1,feature,contracts,Contract files in R2 — POST/GET/DELETE /api/contracts/:id/file (20MB cap),EOS 2026-05-09 pm
2026-05-09,7.1,schema-migration,contracts,0014 contracts.contract_file_key (R2 object key),migration 0014_contract_file_key
2026-05-09,7.1b,schema-migration,partners,0015 partners.abbreviation column (upload 422 if unset),migration 0015_partners_abbreviation
2026-05-09,7.2,feature,web,Contract-file UI drop-zone/view/replace/delete + green PDF pill on partner hub,EOS 2026-05-09 pm
2026-05-09,7.3,feature,web,Edit Partner form — first generic CRUD edit screen; abbreviation relaxed 4 to 2-6,EOS 2026-05-09 pm
2026-05-09,7.4,feature,contracts,Cross-partner /contracts registry — 4 KPI cards search filters clickable rows,EOS 2026-05-09 pm
2026-05-09,7.x,fix,web,Documents-tab counter on operations made real (was hardcoded 0),EOS 2026-05-09 pm
2026-05-09,8.x,seed,partners,0019 partner abbreviations 70/70 unique seeded + unique index,migration 0019
2026-05-09,8.x,fix,warehouses,0020 warehouse han to swh rename (id=lowercase(code)),migration 0020
2026-05-09,8.x,seed,contracts,0021 real manufacturer + intra-group contracts from Drive Agreements (9 new),migration 0021
2026-05-09,8.x,seed,contracts,0022 F4 Lubertsy real fulfillment contract No9 (2025-07-15),migration 0022
2026-05-09,8.x,seed,contracts,0023 F4 Lubertsy addendum No1 (2026-04-22),migration 0023
2026-05-09,8.x,fix,contracts,0024 fix manufacturer contracts currency USD to CNY,migration 0024
2026-05-09,8.x,schema-migration,contracts,0025 unify agreements into contracts table,migration 0025
2026-05-09,8.x,integration,crm,0026 CRM legacy customers — 912 rows from Yandex KIT export,migration 0026
2026-05-09,8.x,fix,marketplaces,Ozon Performance CPC sync RESTORED (CSV to JSON; 2-step SKU map; 23/23 SKUs),snapshot 2026-05-09
